"member_casual","month","number_of_rides","average_duration"
"casual","Apr",498549,41.2762817696957
"casual","Aug",1759282,40.631295039681
"casual","Dec",140913,35.1565433991186
"casual","Feb",115336,50.1456353610321
"casual","Jan",81316,53.4087018544936
"casual","Jul",1986338,42.0149138766917
"casual","Jun",1507295,40.507446120368
"casual","Mar",321696,41.0044109967174
"casual","May",1074154,40.5512366010833
"casual","Nov",341689,33.9596036161539
"casual","Oct",825654,36.2260244606094
"casual","Sep",1182831,37.0222998889951
"member","Apr",1236639,15.0442918264748
"member","Aug",2758077,16.1516690795797
"member","Dec",775579,13.5832997025448
"member","Feb",721453,14.3773759343991
"member","Jan",717909,14.2437258761208
"member","Jul",2672470,16.3816349669033
"member","Jun",2451083,16.0237380782291
"member","Mar",1102687,14.3681996795101
"member","May",1855252,15.6968428008702
"member","Nov",1264079,14.0494628895821
"member","Oct",2021592,14.6175237139838
"member","Sep",2206418,15.4688635607577
