"member_casual","ride_length_cat","number_of_rides"
"casual","5-10min",1680643
"casual","10-30min",5204785
"casual","30min-1h",1864443
"casual","1-2h",795920
"casual","2-5h",241315
"casual","5h-1d",35214
"casual","1-2d",8665
"casual","2d-1w",2370
"casual","1w-1m",1454
"casual","1-3m",221
"casual","3m+",23
"member","5-10min",8772077
"member","10-30min",9938820
"member","30min-1h",961784
"member","1-2h",74822
"member","2-5h",20371
"member","5h-1d",12748
"member","1-2d",2036
"member","2d-1w",377
"member","1w-1m",144
"member","1-3m",53
"member","3m+",6
